Año 2021;;;;;;;;;
Rango;? rango;País;tipo de régimen;Puntuación general;Puntuación ?;Proceso electoral;Funcionamiento del;Participación política;libertades civiles
37;3; Chipre;Democracia defectuosa;7.43;0.13;9.17;5.36;7.22;8.53
38;; letonia;Democracia defectuosa;7.31;0.07;9.58;6.07;6.11;8.53
39;4; Malasia;Democracia defectuosa;7.24;0.05;9.58;7.86;7.22;5.29
40;3; Lituania;Democracia defectuosa;7.18;0.05;9.58;6.07;6.11;8.53
41;; Trinidad y Tobago;Democracia defectuosa;7.16;;9.58;7.14;6.11;7.35
42;; Jamaica;Democracia defectuosa;7.13;;8.75;7.14;5;8.53
43;1; Timor Oriental;Democracia defectuosa;7.06;;9.58;5.93;5.56;7.35
44;1; Sudáfrica;Democracia defectuosa;7.05;;7.42;7.14;8.33;7.35
45;2; Eslovaquia;Democracia defectuosa;7.03;0.06;9.58;6.43;5.56;7.94
46;7; India;Democracia defectuosa;6.91;0.3;8.67;7.5;7.22;6.18
47;2; Brasil;Democracia defectuosa;6.86;0.06;9.58;5.36;6.11;7.65
48;8; Panamá;Democracia defectuosa;6.85;0.33;9.58;6.07;7.22;7.65
49;2; Surinam;Democracia defectuosa;6.82;0.03;9.58;6.07;6.11;7.35
50;2; Argentina;Democracia defectuosa;6.81;0.14;9.17;5;7.22;7.65
51;1; Polonia;Democracia defectuosa;6.8;0.05;9.17;6.07;6.67;6.47
52;13; Indonesia;Democracia defectuosa;6.71;0.41;7.92;7.86;7.22;6.18
53;1; Bulgaria;Democracia defectuosa;6.64;0.07;9.17;5.36;7.22;7.06
54;1; Filipinas;Democracia defectuosa;6.62;0.06;9.17;5;7.78;6.76
55;3; Namibia;Democracia defectuosa;6.52;;7;5.36;6.67;7.94
56;3; Croacia;Democracia defectuosa;6.5;;9.17;6.07;6.11;6.76
56;3; Ghana;Democracia defectuosa;6.5;;8.33;5.36;6.67;5.88
56;2; Hungría;Democracia defectuosa;6.5;0.06;8.33;6.43;5;6.47
59;13; Colombia;Democracia defectuosa;6.48;0,56;9.17;5.71;6.11;7.65
60;3; República Dominicana;Democracia defectuosa;6.45;0.12;9.17;5;6.67;7.06
61;1; Rumania;Democracia defectuosa;6.43;0.03;9.17;6.07;6.11;7.06
62;1; Mongolia;Democracia defectuosa;6.42;0.06;8.75;5.71;6.11;5.88
63;3; Serbia;Democracia defectuosa;6.36;0.14;8.25;6.07;6.67;7.06
64;; Lesoto;Democracia defectuosa;6.3;;9.17;4.14;6.11;6.47
sesenta y cinco;10; Guayana;Democracia defectuosa;6.25;0.24;6.92;6.07;5.56;7.06
66;8; Singapur;Democracia defectuosa;6.23;0.2;4.83;8.21;4.44;6.18
67;1; Sri Lanka;Democracia defectuosa;6.14;;7;5.71;5.56;6.18
68;3; Albania;Democracia defectuosa;6.11;0.03;7;6.43;4.44;7.06
69;11; Moldavia;Democracia defectuosa;6.1;0.32;7;5.71;6.67;6.76
69;4; Papúa Nueva Guinea;Democracia defectuosa;6.1;0.07;6.92;6.07;3.89;7.35
71;14; Perú;Democracia defectuosa;6.09;0.44;8.75;5.36;5.56;7.06
72;; Tailandia;Democracia defectuosa;6.04;;7;5;6.67;5.29
73;5; macedonia del norte;Democracia defectuosa;6.03;0.14;7.42;6.43;6.11;7.06
74;7; montenegro;Democracia defectuosa;6.02;0.25;7.42;6.43;6.67;6.47
Regímenes híbridos;;;;;;;;;
75;1; bangladesh;Régimen híbrido;5.99;;7.42;6.07;5.56;5.29
75;21; Túnez;Régimen híbrido;5.99;0,60;7.5;4.64;7.22;5.59
77;10; Paraguay;Régimen híbrido;5.86;0.32;8.75;5.36;5;7.06
78;4; Malaui;Régimen híbrido;5.74;;7;4.29;5;6.18
79;6; El Salvador;Régimen híbrido;5.72;0.18;9.17;3.93;5.56;6.18
79;20; Zambia;Régimen híbrido;5.72;0,63;7.5;3.64;5;5.59
81;3; Bután;Régimen híbrido;5.71;;8.75;6.79;3.33;4.71
81;12; Ecuador;Régimen híbrido;5.71;0.42;8.75;5;6.11;6.18
83;; Madagascar;Régimen híbrido;5.7;;7.92;3.57;6.67;4.71
84;1; Fiyi;Régimen híbrido;5.61;0.11;6.58;5;5.56;5.29
85;2; Hong Kong;Régimen híbrido;5.6;0.03;2.75;3.64;5.56;8.53
86;14; México;Régimen híbrido;5.57;0.5;6.92;5;7.22;5.59
86;9; Ucrania;Régimen híbrido;5.57;0.24;8.25;2.36;6.67;5.59
88;2; Senegal;Régimen híbrido;5.53;0.14;5.67;5.71;4.44;5.59
89;; Armenia;Régimen híbrido;5.49;0.14;7.5;5.71;6.11;5
90;; Liberia;Régimen híbrido;5.43;0.11;7.42;2.71;6.11;5.29
91;; Georgia;Régimen híbrido;5.12;0.19;7.42;3.57;5.56;5.29
92;4; Honduras;Régimen híbrido;5.1;0.26;8.75;3.93;4.44;5.88
93;; Tanzania;Régimen híbrido;5.1;;4.83;5;5;4.41
94;; Kenia;Régimen híbrido;5.05;;3.5;5.36;6.67;4.12
95;6; Bosnia y Herzegovina;Régimen híbrido;5.04;0.2;7;3.29;5.56;5.59
95;; Marruecos;Régimen híbrido;5.04;;5.25;4.64;5.56;4.12
97;3; Sierra Leona;Régimen híbrido;4.97;0.11;6.58;2.86;3.89;5.29
98;4; Bolivia;Régimen híbrido;4.65;0.43;4.75;4.29;6.11;5.59
99;2; Guatemala;Régimen híbrido;4.62;0.35;6.92;3.93;3.89;5.88
100;2; Uganda;Régimen híbrido;4.48;0,46;3.42;3.21;3.89;5
101;2; Gambia;Régimen híbrido;4.41;0.08;3.58;4.29;4.44;4.12
101;10;   Nepal;Régimen híbrido;4.41;0.81;4.83;5;4.44;5.29
103;1; Pavo;Régimen híbrido;4.35;0.13;3.5;5;5.56;2.06
104;1; Pakistán;Régimen híbrido;4.31;;5.67;5.36;3.33;4.71
105;4; Costa de Marfil;Régimen híbrido;4.22;0.11;4.33;2.86;4.44;3.82
106;5; Benín;Régimen híbrido;4.19;0.39;1.67;5.36;3.89;4.41
107;2; Nigeria;Régimen híbrido;4.11;0.01;5.17;3.93;3.89;3.82
108;4; Mauritania;Régimen híbrido;4.03;0.11;3.5;3.57;5.56;4.41
Regímenes autoritarios;;;;;;;;;
109;4; Palestina;Autoritario;3.94;0.11;3.33;0.14;8.33;3.53
110;4; Kuwait;Autoritario;3.91;0.11;3.58;3.93;4.44;3.24
111;4; Burkina Faso;Autoritario;3.84;0.11;3;2.36;5;3.82
111;4; Líbano;Autoritario;3.84;0.32;3.5;1.14;6.67;4.12
113;2; Argelia;Autoritario;3.77;;3.08;2.5;4.44;3.82
114;12; Katar;Autoritario;3.65;0.41;1.5;4.29;3.33;3.53
115;8; Kirguistán;Autoritario;3.62;0.59;4.33;1.5;4.44;4.71
116;2; Irak;Autoritario;3.51;0.11;5.25;0;6.11;1.18
116;5; Mozambique;Autoritario;3.51;;2.58;1.43;5;3.53
118;1; Jordán;Autoritario;3.49;0.13;2.67;3.93;3.89;3.24
119;13; Haití;Autoritario;3.48;0.74;3.08;0;2.78;5.29
119;9; Malí;Autoritario;3.48;0,45;2.42;0;5.56;3.82
121;; Gabón;Autoritario;3.4;0.14;2.17;1.86;4.44;3.53
122;5; angola;Autoritario;3.37;0.29;1.33;2.86;5;2.65
123;; Etiopía;Autoritario;3.3;0.08;0.42;3.21;6.11;1.76
124;; Rusia;Autoritario;3.24;0.07;1.75;2.14;4.44;4.12
125;; Níger;Autoritario;3.22;0.07;2;1.14;3.89;4.71
126;6; Comoras;Autoritario;3.2;0.11;2.08;2.21;4.44;3.53
127;2; Ruanda;Autoritario;3.1;;1.42;4.29;2.78;2.65
128;; Esuatini;Autoritario;3.08;;0,92;2.86;2.78;3.24
128;; Kazajistán;Autoritario;3.08;0.06;0.5;3.21;5;2.94
130;6; Omán;Autoritario;3;;0.08;3.93;2.78;3.82
131;6; Vietnam;Autoritario;2.94;;0;2.86;3.89;2.35
132;6; Egipto;Autoritario;2.93;;1.33;3.21;3.33;1.76
133;6; Zimbabue;Autoritario;2.92;0.24;0;2.5;3.89;3.24
134;4; Camboya;Autoritario;2.9;0.2;0;3.21;3.89;1.76
134;10; Emiratos Árabes Unidos;Autoritario;2.9;0.2;0;4.29;2.22;2.35
136;5; Para llevar;Autoritario;2.8;;0,92;1.79;3.33;2.94
137;8; República del Congo;Autoritario;2.79;0.32;0;2.5;4.44;3.24
138;9; Guinea-Bisáu;Autoritario;2.75;0.12;4.92;0;3.33;2.35
139;5; Yibuti;Autoritario;2.74;0.03;0;1.29;4.44;2.35
140;20; Nicaragua;Autoritario;2.69;0.91;0;2.5;3.33;3.24
141;5; Azerbaiyán;Autoritario;2.68;;0.5;2.5;2.78;2.65
142;2; Cuba;Autoritario;2.59;0.25;0;3.21;3.33;2.65
143;1; Camerún;Autoritario;2.56;0.21;0.33;2.14;3.89;2.06
144;6; Baréin;Autoritario;2.52;0.03;0.42;2.71;3.33;1.76
145;4; Sudán;Autoritario;2.47;0.07;0;1.43;4.44;1.47
146;2; Bielorrusia;Autoritario;2.41;0.18;0;2;3.89;1.76
147;13; Guinea;Autoritario;2.28;0.8;1.25;0.43;3.33;2.65
148;3; Porcelana;Autoritario;2.21;0.06;0;4.29;2.78;0.88
149;5; Burundi;Autoritario;2.13;0.01;0;0;3.89;1.76
150;5; Uzbekistán;Autoritario;2.12;;0.08;1.86;2.78;0.88
151;8; Venezuela;Autoritario;2.11;0,65;0;1.79;3.89;2.35
152;; Arabia Saudita;Autoritario;2.08;;0;3.57;2.22;1.47
153;; Eritrea;Autoritario;2.03;0.12;0;2.14;0,56;0.59
154;3; Libia;Autoritario;1,95;;0;0;3.33;2.65
154;1; Irán;Autoritario;1,95;0.25;0;2.5;3.89;1.47
154;; Yemen;Autoritario;1,95;;0;0;3.89;0.88
157;2; Tayikistán;Autoritario;1.94;;0;2.21;2.22;0.88
158;2; Guinea Ecuatorial;Autoritario;1.92;;0;0.43;3.33;1.47
159;2; Laos;Autoritario;1.77;;0;2.86;1.67;0.59
160;1; Chad;Autoritario;1.67;0.12;0;0;2.22;2.35
161;1; turkmenistán;Autoritario;1.66;0.06;0;0.79;2.22;0.29
162;2; Siria;Autoritario;1.43;;0;0;2.78;0
162;2; República Centroafricana;Autoritario;1.43;0.11;1.25;0;1.67;2.35
164;2; República Democrática del Congo;Autoritario;1.4;0.27;0.75;0;2.22;0.88
165;2; Corea del Norte;Autoritario;1.08;;0;2.5;1.67;0
166;31; Birmania;Autoritario;1.02;2.04;0;0;1.67;0.29
167;28; Afganistán;Autoritario;0.32;2.53;0;0.07;0;0.29
